#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4
     381    0.013    0.688    0.299    0.000    0.000
     382    0.013    0.688    0.298    0.000    0.000
     383    0.013    0.689    0.298    0.000    0.000
     384    0.013    0.690    0.297    0.000    0.000
     385    0.013    0.691    0.296    0.000    0.000
     386    0.013    0.692    0.295    0.000    0.000
     387    0.013    0.693    0.295    0.000    0.000
     388    0.013    0.693    0.294    0.000    0.000
     389    0.013    0.694    0.293    0.000    0.000
     390    0.013    0.695    0.292    0.000    0.000
     391    0.013    0.696    0.292    0.000    0.000
     392    0.013    0.696    0.291    0.000    0.000
     393    0.013    0.697    0.290    0.000    0.000
     394    0.013    0.698    0.289    0.000    0.000
     395    0.013    0.699    0.289    0.000    0.000
     396    0.013    0.699    0.288    0.000    0.000
     397    0.013    0.700    0.287    0.000    0.000
     398    0.013    0.701    0.286    0.000    0.000
     399    0.013    0.702    0.286    0.000    0.000
     400    0.013    0.702    0.285    0.000    0.000
     401    0.012    0.703    0.284    0.000    0.000
     402    0.012    0.704    0.284    0.000    0.000
     403    0.012    0.705    0.283    0.000    0.000
     404    0.012    0.705    0.282    0.000    0.000
     405    0.012    0.706    0.281    0.000    0.000
     406    0.012    0.707    0.281    0.000    0.000
     407    0.012    0.708    0.280    0.000    0.000
     408    0.012    0.708    0.279    0.000    0.000
     409    0.012    0.709    0.279    0.000    0.000
     410    0.012    0.710    0.278    0.000    0.000
     411    0.012    0.710    0.277    0.000    0.000
     412    0.015    0.709    0.277    0.000    0.000
     413    0.015    0.709    0.276    0.000    0.000
     414    0.014    0.710    0.275    0.000    0.000
     415    0.014    0.711    0.275    0.000    0.000
     416    0.017    0.709    0.274    0.000    0.000
     417    0.017    0.710    0.273    0.000    0.000
     418    0.017    0.711    0.273    0.000    0.000
     419    0.017    0.711    0.272    0.000    0.000
     420    0.017    0.712    0.271    0.000    0.000
     421    0.017    0.713    0.271    0.000    0.000
     422    0.017    0.713    0.270    0.000    0.000
     423    0.017    0.714    0.270    0.000    0.000
     424    0.017    0.715    0.269    0.000    0.000
     425    0.016    0.715    0.268    0.000    0.000
     426    0.016    0.716    0.268    0.000    0.000
     427    0.016    0.717    0.267    0.000    0.000
     428    0.016    0.717    0.266    0.000    0.000
     429    0.016    0.718    0.266    0.000    0.000
     430    0.016    0.719    0.265    0.000    0.000
     431    0.016    0.719    0.265    0.000    0.000
     432    0.016    0.720    0.264    0.000    0.000
     433    0.016    0.721    0.263    0.000    0.000
     434    0.016    0.721    0.263    0.000    0.000
     435    0.016    0.722    0.262    0.000    0.000
     436    0.016    0.722    0.261    0.000    0.000
     437    0.016    0.723    0.261    0.000    0.000
     438    0.016    0.724    0.260    0.000    0.000
     439    0.018    0.722    0.260    0.000    0.000
     440    0.018    0.723    0.259    0.000    0.000
     441    0.020    0.721    0.259    0.000    0.000
     442    0.023    0.719    0.258    0.000    0.000
     443    0.023    0.720    0.257    0.000    0.000
     444    0.025    0.718    0.257    0.000    0.000
     445    0.027    0.717    0.256    0.000    0.000
     446    0.029    0.715    0.256    0.000    0.000
     447    0.031    0.714    0.255    0.000    0.000
     448    0.031    0.714    0.254    0.000    0.000
     449    0.033    0.713    0.254    0.000    0.000
     450    0.033    0.713    0.253    0.000    0.000
     451    0.033    0.714    0.253    0.000    0.000
     452    0.035    0.712    0.252    0.000    0.000
     453    0.038    0.711    0.252    0.000    0.000
     454    0.040    0.709    0.251    0.000    0.000
     455    0.042    0.708    0.251    0.000    0.000
     456    0.044    0.706    0.250    0.000    0.000
     457    0.046    0.705    0.249    0.000    0.000
     458    0.048    0.703    0.249    0.000    0.000
     459    0.050    0.702    0.248    0.000    0.000
     460    0.052    0.700    0.248    0.000    0.000
     461    0.054    0.698    0.247    0.000    0.000
     462    0.056    0.697    0.247    0.000    0.000
     463    0.056    0.698    0.246    0.000    0.000
     464    0.058    0.696    0.246    0.000    0.000
     465    0.058    0.697    0.245    0.000    0.000
     466    0.060    0.695    0.245    0.000    0.000
     467    0.060    0.696    0.244    0.000    0.000
     468    0.062    0.694    0.244    0.000    0.000
     469    0.064    0.693    0.243    0.000    0.000
     470    0.066    0.691    0.243    0.000    0.000
     471    0.068    0.690    0.242    0.000    0.000
     472    0.070    0.689    0.242    0.000    0.000
     473    0.072    0.687    0.241    0.000    0.000
     474    0.074    0.686    0.241    0.000    0.000
     475    0.076    0.684    0.240    0.000    0.000
     476    0.078    0.683    0.239    0.000    0.000
     477    0.080    0.681    0.239    0.000    0.000
     478    0.082    0.680    0.238    0.000    0.000
     479    0.084    0.678    0.238    0.000    0.000
     480    0.085    0.677    0.237    0.000    0.000
     481    0.087    0.676    0.237    0.000    0.000
     482    0.089    0.674    0.237    0.000    0.000
     483    0.091    0.673    0.236    0.000    0.000
     484    0.093    0.671    0.236    0.000    0.000
     485    0.095    0.670    0.235    0.000    0.000
     486    0.097    0.669    0.235    0.000    0.000
     487    0.099    0.667    0.234    0.000    0.000
     488    0.100    0.666    0.234    0.000    0.000
     489    0.102    0.665    0.233    0.000    0.000
     490    0.104    0.663    0.233    0.000    0.000
     491    0.106    0.662    0.232    0.000    0.000
     492    0.108    0.661    0.232    0.000    0.000
     493    0.110    0.659    0.231    0.000    0.000
     494    0.111    0.658    0.231    0.000    0.000
     495    0.113    0.657    0.230    0.000    0.000
     496    0.115    0.655    0.230    0.000    0.000
     497    0.117    0.654    0.229    0.000    0.000
     498    0.118    0.653    0.229    0.000    0.000
     499    0.120    0.651    0.228    0.000    0.000
     500    0.122    0.650    0.228    0.000    0.000
     501    0.124    0.649    0.228    0.000    0.000
     502    0.125    0.647    0.227    0.000    0.000
     503    0.127    0.646    0.227    0.000    0.000
     504    0.129    0.645    0.226    0.000    0.000
     505    0.131    0.644    0.226    0.000    0.000
     506    0.132    0.642    0.225    0.000    0.000
     507    0.134    0.641    0.225    0.000    0.000
     508    0.136    0.640    0.224    0.000    0.000
     509    0.138    0.639    0.224    0.000    0.000
     510    0.139    0.637    0.224    0.000    0.000
     511    0.141    0.636    0.223    0.000    0.000
     512    0.143    0.635    0.223    0.000    0.000
     513    0.144    0.634    0.222    0.000    0.000
     514    0.146    0.632    0.222    0.000    0.000
     515    0.148    0.631    0.221    0.000    0.000
     516    0.149    0.630    0.221    0.000    0.000
     517    0.151    0.629    0.221    0.000    0.000
     518    0.153    0.627    0.220    0.000    0.000
     519    0.154    0.626    0.220    0.000    0.000
     520    0.156    0.625    0.219    0.000    0.000
     521    0.157    0.624    0.219    0.000    0.000
     522    0.159    0.623    0.218    0.000    0.000
     523    0.161    0.621    0.218    0.000    0.000
     524    0.162    0.620    0.218    0.000    0.000
     525    0.164    0.619    0.217    0.000    0.000
     526    0.165    0.618    0.217    0.000    0.000
     527    0.167    0.617    0.216    0.000    0.000
     528    0.169    0.616    0.216    0.000    0.000
     529    0.170    0.614    0.216    0.000    0.000
     530    0.172    0.613    0.215    0.000    0.000
     531    0.173    0.612    0.215    0.000    0.000
     532    0.175    0.611    0.214    0.000    0.000
     533    0.176    0.610    0.214    0.000    0.000
     534    0.178    0.609    0.213    0.000    0.000
     535    0.179    0.607    0.213    0.000    0.000
     536    0.181    0.606    0.213    0.000    0.000
     537    0.182    0.605    0.212    0.000    0.000
     538    0.184    0.604    0.212    0.000    0.000
     539    0.186    0.603    0.212    0.000    0.000
     540    0.187    0.602    0.211    0.000    0.000
     541    0.189    0.601    0.211    0.000    0.000
     542    0.190    0.600    0.210    0.000    0.000
     543    0.192    0.599    0.210    0.000    0.000
     544    0.193    0.597    0.210    0.000    0.000
     545    0.194    0.596    0.209    0.000    0.000
     546    0.196    0.595    0.209    0.000    0.000
     547    0.197    0.594    0.208    0.000    0.000
     548    0.199    0.593    0.208    0.000    0.000
     549    0.200    0.592    0.208    0.000    0.000
     550    0.202    0.591    0.207    0.000    0.000
     551    0.203    0.590    0.207    0.000    0.000
     552    0.205    0.589    0.207    0.000    0.000
     553    0.206    0.588    0.206    0.000    0.000
     554    0.208    0.587    0.206    0.000    0.000
     555    0.209    0.586    0.205    0.000    0.000
     556    0.210    0.585    0.205    0.000    0.000
     557    0.212    0.583    0.205    0.000    0.000
     558    0.213    0.582    0.204    0.000    0.000
     559    0.215    0.581    0.204    0.000    0.000
     560    0.216    0.580    0.204    0.000    0.000
     561    0.217    0.579    0.203    0.000    0.000
     562    0.219    0.578    0.203    0.000    0.000
     563    0.220    0.577    0.202    0.000    0.000
     564    0.222    0.576    0.202    0.000    0.000
     565    0.223    0.575    0.202    0.000    0.000
     566    0.224    0.574    0.201    0.000    0.000
     567    0.226    0.573    0.201    0.000    0.000
     568    0.227    0.572    0.201    0.000    0.000
     569    0.228    0.571    0.200    0.000    0.000
     570    0.230    0.570    0.200    0.000    0.000
     571    0.231    0.569    0.200    0.000    0.000
     572    0.233    0.568    0.199    0.000    0.000
     573    0.234    0.567    0.199    0.000    0.000
     574    0.235    0.566    0.199    0.000    0.000
     575    0.237    0.565    0.198    0.000    0.000
     576    0.238    0.564    0.198    0.000    0.000
     577    0.239    0.563    0.198    0.000    0.000
     578    0.240    0.562    0.197    0.000    0.000
     579    0.242    0.561    0.197    0.000    0.000
     580    0.243    0.560    0.197    0.000    0.000
     581    0.244    0.559    0.196    0.000    0.000
     582    0.246    0.558    0.196    0.000    0.000
     583    0.247    0.557    0.196    0.000    0.000
     584    0.248    0.557    0.195    0.000    0.000
     585    0.250    0.556    0.195    0.000    0.000
     586    0.251    0.555    0.195    0.000    0.000
     587    0.252    0.554    0.194    0.000    0.000
     588    0.253    0.553    0.194    0.000    0.000
