#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     171   11.994    1.581   -2.389   -2.758    2.693   -2.095    0.596    1.930    0.193    0.752
     172    5.803    3.922   -5.387   -7.872    4.006    0.344   -1.003   -3.128   -1.383   -1.345
     173   11.682    7.864   -0.689   -5.921    8.414    0.576   -6.820    2.453    0.989    1.448
     174    8.013   -4.933   -3.736    0.027    1.517   -4.691   -4.382   -2.623   -1.694   -1.197
     175   14.802    4.434    0.443   -3.867    1.241   -2.107   -2.531   -0.855   -4.125    2.282
     176   16.502    5.989   -4.527   -2.861    2.273    2.312   -0.259    0.584   -5.894    2.707
     177   11.451    3.196   -1.026   -5.183    4.807   -5.089    1.788   -5.387   -4.767    3.387
     178   12.302    3.994    1.870   -0.781    3.487   -0.479   -3.780    0.346   -9.943    1.350
     179   13.421    1.535   -1.017    2.860    3.087   -1.290   -3.259   -2.112   -8.926    0.971
     180   15.791    2.553   -0.980   -1.449    3.450   -2.166   -1.342   -0.756   -2.087    1.394
     181   17.507    7.157   -1.245   -5.194   -0.313    0.981    1.664   -3.985   -8.789    3.011
     182   14.272   13.855    4.291  -10.428    5.446    5.253   -3.602   -0.285   -8.019    3.337
     183   13.422    7.612    0.011   -6.119    0.533   -1.261   -1.482   -6.299   -4.433    2.501
     184   13.422    5.343   -4.226   -3.149    3.324    6.126   -3.270   -2.544   -3.635    1.073
     185   12.900    5.901    2.930   -3.890    1.189    0.283   -2.666   -7.685   -2.111    1.987
     186   15.254    9.363   -0.003   -4.383    0.580    1.497   -6.978   -3.085   -4.878    1.486
     187   19.467    1.073   -1.756    5.930    1.845   -2.647   -4.898   -4.880   -6.271    0.315
     188   15.341    0.656   -3.379    0.193    1.446   -0.865   -6.897   -0.696   -5.630   -5.125
     189   12.359    5.233    3.354   -4.215    2.287   -7.785   -4.100   -1.258   -5.136   -3.482
     190   16.274    0.223   -6.839    1.975    2.640    1.890   -5.222   -1.428   -3.174   -2.848
     191   13.612    0.171   -5.750    0.531    3.395   -7.404   -7.008   -2.961   -2.263   -2.068
     192   18.475   -4.270  -10.585    1.151    4.128    4.008   -8.911   -4.330   -0.698   -0.902
     193   20.394   -0.543   -4.080    5.132    4.398    0.679   -9.654   -6.016   -3.972    1.663
     194   19.157    1.136   -4.721    0.392   -2.844   -1.415   -5.440   -4.681   -4.905   -1.699
     195   17.626    2.530   -3.895    2.288    0.434   -3.760   -4.537   -4.334   -6.613    0.349
     196   15.550   -5.086  -11.086    1.503    1.731   -1.766   -4.344   -7.950   -6.356    1.397
     197   18.036   -1.830   -2.344    2.147    1.738   -1.188   -4.233   -5.977   -7.104    0.053
     198   16.919   -7.263   -4.929    6.721    4.011  -12.154   -3.941   -3.986   -3.505   -1.162
     199   15.482   -4.480  -11.909   -0.241    1.506   -3.962   -4.157   -6.525   -2.677   -2.804
     200   14.766   -4.234   -5.774    7.680   -0.991   -8.902   -0.937   -1.124   -2.883   -4.393
     201   13.471   -8.317   -6.241    6.724    3.237   -6.371   -3.436   -1.068   -4.279   -3.097
     202   13.165   -6.437   -8.078    2.787    1.279   -6.817   -2.585   -5.888    3.989   -1.397
     203   17.272   -4.205   -5.053    5.872   -1.686   -8.518   -1.009   -3.807   -1.513   -1.827
     204   15.918   -2.200   -1.149    2.873   -1.856   -6.052   -2.156    1.835   -0.807   -3.529
     205   13.343   -3.348   -2.463    4.119    1.562   -7.689   -7.310    1.092   -1.976   -3.624
     206   14.947   -4.297   -8.362    6.119    1.461   -0.737   -3.015    0.065   -1.205    0.718
     207   11.380   -1.693   -2.979   -1.620    0.580   -4.727    0.349    1.844   -4.475   -1.601
     208   12.756   -0.720   -2.258    0.787   -3.192   -3.359   -4.463    4.134   -2.248   -2.289
     209   12.131   -1.898   -2.074   -2.227   -0.992   -8.718   -4.878    0.328   -4.033   -1.717
     210   16.446   -4.234   -3.486    0.416    2.482   -1.191   -4.412   -1.975   -1.822    0.183
     211   13.541   -0.801   -2.583   -3.637    3.928   -4.357   -3.195   -1.247   -2.553    0.570
     212   20.460   -1.668   -0.226    8.133    2.662   -7.170   -1.039    3.895   -4.389   -1.778
     213   15.562    0.103    0.551   -1.486   -0.023   -4.882   -1.733    4.406   -2.300    0.332
     214   11.781    2.258   -1.468   -1.916   -1.824   -2.417   -0.865    2.249   -2.680    0.905
     215   13.356    6.088   -1.381   -4.990    3.465    1.548   -6.361    1.300    2.482    0.828
     216    9.108    0.213   -5.545   -8.141    1.846    5.119   -6.440   -0.105   -0.176    5.240
     217    3.238    3.576   -8.188  -13.766    2.374    1.318   -6.361   -0.959   -3.957    1.612
     218   12.409   -1.795   -7.856   -6.456   -0.423    3.413   -0.077   -2.492   -7.141   -1.255
     219   13.971    2.380   -0.279   -6.468   -3.512   -0.875   -1.079    0.390    0.744    0.813
     220   14.772   -2.061   -2.834   -4.485   -1.035   -2.863   -0.120   -1.842    0.101    2.240
     221   17.337   -0.229   -0.945    3.242    4.805    0.732   -5.232    3.138    0.831    0.272
     222   14.955   -1.635   -5.477   -1.189    4.582   -1.021   -3.419   -2.591   -0.606    0.986
     223   13.716   -0.068    2.392    1.672    4.105   -3.466   -3.220    2.433   -5.282    2.087
     224   14.787   -3.237   -6.448    1.000    4.263   -4.130   -0.948   -2.373    0.322    0.236
     225   12.905   -1.332   -4.514    0.306    2.638   -1.223    2.433    0.204   -1.387    0.082
     226   13.022    3.321   -1.297   -1.750    2.380   -9.369   -0.116    1.892   -4.622   -2.079
     227   11.607   -0.789   -2.423   -0.879    5.148   -6.556   -1.705    0.113   -2.217   -3.113
